frame,gridx,gridy,hand_value
630,1,3,2.230274310553115e-09
630,1,4,3.600862579283667e-08
630,1,5,1.3969920829605412e-09
630,1,6,3.85941139801104e-15
630,2,1,5.306258724310908e-19
630,2,2,5.803384314494875e-09
630,2,3,0.0010491057020945987
630,2,4,0.017722954658427922
630,2,5,0.0007458356549959016
630,2,6,2.5560766153971704e-09
630,3,1,6.7595192084082605e-18
630,3,2,3.365717116807191e-08
630,3,3,0.005087232552724373
630,3,4,0.08563031449865349
630,3,5,0.003842429121769479
630,3,6,3.0066716813686224e-06
630,4,1,5.341872244273269e-19
630,4,2,5.230559926193502e-10
630,4,3,3.119788767541682e-05
630,4,4,0.0003430450589638732
630,4,5,0.0001400887053171984
630,4,6,0.0005061052990352975
630,5,1,3.5337522029577037e-26
630,5,2,1.9408614678851296e-17
630,5,3,1.6061993312610165e-12
630,5,4,4.587005809001422e-06
630,5,5,0.009174200240757628
630,5,6,0.011676741090363896
630,6,1,2.2914931060085844e-26
630,6,2,6.190767700225615e-15
630,6,3,2.792793194166418e-08
630,6,4,0.0004339056244612159
630,6,5,0.10577779423971621
630,6,6,0.05432262129187875
630,7,1,9.395371692550618e-27
630,7,2,2.5813339389977145e-15
630,7,3,1.9310483142974725e-08
630,7,4,0.0015538389452629078
630,7,5,0.09408261932775798
630,7,6,0.016618006783376296
630,8,1,5.7780848719858586e-33
630,8,2,3.018790608786943e-21
630,8,3,1.3767599022108848e-11
630,8,4,4.785973304201009e-06
630,8,5,0.00017139896388014564
630,8,6,4.2309413613401725e-05
690,1,1,1.2939330145814962e-15
690,1,2,4.856149938929853e-14
690,1,3,2.7719457081542098e-14
690,1,4,4.03355146918372e-16
690,1,5,8.977350868750315e-18
690,1,6,4.518843056459722e-23
690,2,1,1.3831951214403856e-05
690,2,2,0.00035408645374122253
690,2,3,0.00010476705443425498
690,2,4,3.6577137662244022e-06
690,2,5,1.4835390380115856e-08
690,2,6,2.929023321314602e-14
690,3,1,0.0041679339113961334
690,3,2,0.10038834442143409
690,3,3,0.02139775525273391
690,3,4,0.0050742230673106
690,3,5,2.150141556764563e-05
690,3,6,1.0313330512179576e-11
690,4,1,0.000167217457342453
690,4,2,0.004017748340938228
690,4,3,0.000989270595996741
690,4,4,0.0007219333565432629
690,4,5,3.1214055181639223e-06
690,4,6,1.1688731717364256e-12
690,5,1,7.47894871381815e-08
690,5,2,1.0292728554833877e-05
690,5,3,1.4001902809372457e-05
690,5,4,2.2069036333612663e-06
690,5,5,2.336258051407342e-08
690,5,6,6.047731074420781e-12
690,6,1,0.00047783035976795924
690,6,2,0.06056214869635298
690,6,3,0.030014759181449992
690,6,4,0.006339142208236612
690,6,5,0.001030962458981576
690,6,6,5.441973364357467e-06
690,7,1,0.00014699605145336713
690,7,2,0.021312442714178332
690,7,3,0.013687072215096288
690,7,4,0.002532328465312095
690,7,5,0.006746642220512277
690,7,6,0.026475119220634072
690,8,1,8.092298433128396e-11
690,8,2,1.8479394603426953e-08
690,8,3,1.5876558165156018e-08
690,8,4,9.210858568746394e-07
690,8,5,0.016422815102457706
690,8,6,0.08384294541146226
750,1,1,1.1068812054988904e-16
750,1,2,1.6589192583665504e-14
750,1,3,3.527017215719794e-14
750,1,4,6.40146933353472e-14
750,1,5,4.918555420183635e-16
750,1,6,2.0113500114627632e-22
750,2,1,1.208235656154625e-07
750,2,2,1.8387063140490112e-05
750,2,3,0.00017897415226640384
750,2,4,0.00046473298869865076
750,2,5,3.60834593678894e-06
750,2,6,1.628649153867221e-12
750,3,1,7.102131617354826e-06
750,3,2,0.0011585502253706138
750,3,3,0.035479270472234654
750,3,4,0.0935850043562863
750,3,5,0.000730219267068268
750,3,6,3.5906200822189965e-10
750,4,1,6.388956051234e-08
750,4,2,1.4230455780515005e-05
750,4,3,0.0019133729954864934
750,4,4,0.022986618236764317
750,4,5,0.0027291313750786466
750,4,6,7.040219412621201e-08
750,5,1,2.4205099086881496e-09
750,5,2,2.4013415595399686e-05
750,5,3,0.007146649533338947
750,5,4,0.11012008865992512
750,5,5,0.02692620919218383
750,5,6,3.836307805835792e-05
750,6,1,6.339559766683569e-07
750,6,2,0.0003174838145065828
750,6,3,0.0016802097629278472
750,6,4,0.027914465360477966
750,6,5,0.0683085645412279
750,6,6,0.0029258723493486446
750,7,1,3.163343241449274e-08
750,7,2,6.72630064691465e-06
750,7,3,4.633342476727886e-06
750,7,4,1.587562071969305e-05
750,7,5,0.0020545920097142624
750,7,6,0.0022273964861903735
750,8,1,3.5637607042096354e-16
750,8,2,5.603361220998122e-14
750,8,3,1.5415944555897097e-14
750,8,4,1.658602655797637e-10
750,8,5,7.220750705097403e-06
750,8,6,6.238229498164566e-05
810,1,1,4.558630260828449e-25
810,1,2,3.6707178224258745e-15
810,1,3,6.61869722354856e-10
810,1,4,1.486869050571423e-08
810,1,5,9.61833271328099e-10
810,1,6,6.9074280322093445e-15
810,2,1,1.314248883171257e-15
810,2,2,1.7437533493971017e-08
810,2,3,0.0005134676402187443
810,2,4,0.00609886340110728
810,2,5,0.00023887613860044133
810,2,6,1.2150531258135654e-09
